wave_length,chlorophyll_a,chlorophyll_b,beta_carotene
300,17585,36334,31887
301,17746,28789,28383
302,17921,28983,23951
303,18230,29194,22136
304,18037,29369,21911
305,17898,29545,19150
306,19027,29689,20245
307,19211,29760,16808
308,19247,29821,17605
309,19151,29770,16218
310,19448,29677,19488
311,20087,29598,12223
312,20229,29388,15633
313,20289,29115,15457
314,20458,28886,14421
315,20774,28629,13471
316,21325,28386,17722
317,20683,28215,13444
318,21443,28092,14142
319,21159,28056,15398
320,20719,28111,15561
321,20623,28247,11989
322,20571,28499,12133
323,21028,28764,14687
324,20767,29128,12457
325,20423,29536,13309
326,21204,29939,12120
327,20485,30389,11822
328,20497,30771,12624
329,19660,31065,13106
330,19952,31294,14421
331,19712,31411,13691
332,19457,31487,14903
333,19858,31475,14660
334,19972,31440,13655
335,19737,31311,14272
336,19792,31146,13565
337,20016,30964,13975
338,19879,30757,12939
339,19609,30507,16245
340,19788,30215,13791
341,19864,29915,15889
342,20312,29586,13854
343,20431,29202,15475
344,20194,28792,14056
345,20822,28410,13953
346,21160,27930,14944
347,21729,27522,15281
348,21787,27143,15565
349,22780,26832,14002
350,22942,26563,15786
351,23657,26339,15020
352,24150,26191,16236
353,23931,26077,15254
354,25319,26042,13822
355,25709,25962,16583
356,26062,25920,15380
357,27068,25840,17934
358,27828,25783,15781
359,28334,25642,15664
360,29121,25342,15412
361,29660,24913,17907
362,30685,24414,16673
363,31303,23886,17646
364,32139,23453,16786
365,33467,23281,17686
366,33981,23286,19529
367,34644,23099,19776
368,35574,22822,18574
369,36503,22437,20028
370,37075,22153,21609
371,37709,21855,21555
372,38688,21598,23641
373,38988,21490,25019
374,39844,21330,25361
375,40550,21231,26555
376,41269,21114,26451
377,41776,20963,27451
378,42151,20687,28577
379,43604,20242,29928
380,44338,19822,29757
381,44940,19245,32432
382,45822,18562,31068
383,46769,17758,31968
384,48197,16924,34923
385,49328,16043,35004
386,50688,15221,35626
387,52296,14484,37833
388,54796,13812,38454
389,56507,13319,40003
390,58651,12947,41850
391,60792,12660,43976
392,63313,12542,45904
393,65459,12509,46849
394,68156,12671,50925
395,69779,12860,50151
396,71287,13167,51624
397,72727,13546,55420
398,74188,13899,56407
399,75184,14267,59213
400,75612,14676,58312
401,76400,15115,61185
402,77603,15452,62302
403,78597,15765,62919
404,79430,16163,63627
405,81178,16479,66126
406,82318,16865,66631
407,84311,17382,68117
408,86913,17918,68189
409,89837,18616,70135
